ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0098687,chromosomal region,66/613,413/19944,0.15980629539951574,5.19930955211736,15.356385189050147,1.0315113237679833e-28,4.559280051054486e-26,3.887168988515137e-26,NEK2/TOP2A/NUF2/BUB1/PLK1/CDC20/CENPF/HJURP/SPAG5/KIF2C/CDK1/AURKB/SPC24/CDCA5/SKA3/NCAPG/AURKA/CENPA/ERCC6L/CDCA8/SGO1/TTK/RAD51/BUB1B/RECQL4/H4C14/KNL1/SKA1/ESCO2/ZWINT/ORC1/H2AC4/NDC80/BIRC5/CENPM/CENPI/EZH2/CENPU/RAD51AP1/CCNB1/SPC25/OIP5/CENPE/BLM/H4C9/CHEK1/H2BC3/H2AX/MCM2/MAD2L1/H2BC11/CENPK/FEN1/HELLS/PIF1/SYCP2/SMC4/BRCA2/PARP1/CENPL/LRWD1/CENPO/KNTC1/DNMT1/MCM6/RCC2,66
GO:0000775,"chromosome, centromeric region",51/613,267/19944,0.19101123595505617,6.214564583829756,15.275398894707116,4.620332431521361e-26,1.0210934673662208e-23,8.705679002550775e-24,NEK2/TOP2A/NUF2/BUB1/PLK1/CDC20/CENPF/HJURP/SPAG5/KIF2C/AURKB/SPC24/CDCA5/SKA3/NCAPG/AURKA/CENPA/ERCC6L/CDCA8/SGO1/TTK/BUB1B/H4C14/KNL1/SKA1/ESCO2/ZWINT/H2AC4/NDC80/BIRC5/CENPM/CENPI/EZH2/CENPU/CCNB1/SPC25/OIP5/CENPE/H4C9/MAD2L1/H2BC11/CENPK/HELLS/SYCP2/SMC4/CENPL/LRWD1/CENPO/KNTC1/DNMT1/RCC2,51
GO:0000793,condensed chromosome,52/613,288/19944,0.18055555555555555,5.874388254486134,14.837717981272927,2.40766734431259e-25,3.547296553953883e-23,3.0243681026803766e-23,NEK2/TOP2A/NUF2/BUB1/PLK1/CDC20/CENPF/HJURP/SPAG5/MKI67/KIF2C/NCAPH/AURKB/SPC24/SKA3/NCAPG/AURKA/CENPA/ERCC6L/SGO1/TTK/RAD51/BUB1B/KNL1/SKA1/ZWINT/NDC80/BIRC5/CENPM/CENPI/CENPU/CCNB1/SPC25/CENPE/BLM/CHEK1/H2AX/MAD2L1/CENPK/P3H4/NCAPG2/SYCP2/TUBG1/BRCA1/SMC4/BRCA2/RCC1/FANCD2/CENPL/LRWD1/CENPO/KNTC1,52
GO:0032993,protein-DNA complex,44/613,241/19944,0.1825726141078838,5.940013402557316,13.73943238898641,8.371087054252538e-22,9.250051194949055e-20,7.886445172164234e-20,SLC5A8/NKX2-5/H2AC13/H3C12/H2BC17/H3C10/H1-6/H2AC17/H3C2/H2BC13/CDC45/CENPA/H3C8/H2BC9/H2AC16/H4C14/H3C3/H2BC6/H2BC7/H3C7/LEF1/H2AC4/H2BC14/H2AC12/H2BC10/GINS1/H2AC18/H3C13/H2AC11/H2BC18/H2AC7/H4C9/H1-5/H2BC3/H2AX/MCM2/H2BC11/H2BC15/TONSL/H2AC21/DONSON/PARP1/MCM6/POLD4,44
GO:0000786,nucleosome,33/613,135/19944,0.24444444444444444,7.953017944535073,14.434683969399263,9.106087270680858e-21,8.049781147281879e-19,6.863114195586836e-19,H2AC13/H3C12/H2BC17/H3C10/H1-6/H2AC17/H3C2/H2BC13/CENPA/H3C8/H2BC9/H2AC16/H4C14/H3C3/H2BC6/H2BC7/H3C7/H2AC4/H2BC14/H2AC12/H2BC10/H2AC18/H3C13/H2AC11/H2BC18/H2AC7/H4C9/H1-5/H2BC3/H2AX/H2BC11/H2BC15/H2AC21,33
GO:0000779,"condensed chromosome, centromeric region",37/613,187/19944,0.19786096256684493,6.437420941979046,13.30306093394099,9.362460119809346e-20,6.897012288259552e-18,5.88028196998552e-18,NEK2/NUF2/BUB1/PLK1/CDC20/CENPF/HJURP/SPAG5/KIF2C/AURKB/SPC24/SKA3/NCAPG/AURKA/CENPA/ERCC6L/SGO1/TTK/BUB1B/KNL1/SKA1/ZWINT/NDC80/BIRC5/CENPM/CENPI/CENPU/CCNB1/SPC25/CENPE/MAD2L1/CENPK/SYCP2/CENPL/LRWD1/CENPO/KNTC1,37
GO:0000776,kinetochore,34/613,175/19944,0.19428571428571428,6.321099976695409,12.59001982434619,5.396656985368084e-18,3.4076034107609904e-16,2.905267971070337e-16,NEK2/NUF2/BUB1/PLK1/CDC20/CENPF/HJURP/SPAG5/KIF2C/AURKB/SPC24/SKA3/AURKA/ERCC6L/SGO1/TTK/BUB1B/KNL1/SKA1/ZWINT/NDC80/BIRC5/CENPM/CENPI/CENPU/CCNB1/SPC25/CENPE/MAD2L1/CENPK/CENPL/LRWD1/CENPO/KNTC1,34
GO:0005819,spindle,53/613,452/19944,0.1172566371681416,3.814953298012098,10.779795734811735,4.8959395868452006e-17,2.7050066217319733e-15,2.3062452264349763e-15,CDC6/KIF4A/NEK2/CKAP2L/TUBB3/UHRF1/ASPM/KIF20A/PLK1/TPX2/KIF14/DLGAP5/CDC20/CENPF/SPAG5/SHCBP1/FAM83D/KIF2C/CDK1/KIF18B/AURKB/SKA3/AURKA/CDCA8/SGO1/AUNIP/KIFC1/TTK/ESPL1/BUB1B/HMMR/KIF15/SKA1/KIF23/DIAPH3/BIRC5/KIF11/CCNB1/POC1A/HASPIN/TACC3/CENPE/PRC1/RACGAP1/MAD2L1/PYCR3/CDC7/TUBG1/CKAP2/CLTC/KNTC1/ODF2/RCC2,53
GO:0000940,outer kinetochore,13/613,20/19944,0.65,21.147797716150084,16.05286800318902,1.226689279410167e-15,6.024407349992155e-14,5.1363130061852614e-14,NUF2/BUB1/PLK1/CENPF/SPC24/SKA3/BUB1B/KNL1/SKA1/ZWINT/NDC80/CCNB1/SPC25,13
GO:0031012,extracellular matrix,53/613,496/19944,0.10685483870967742,3.4765300215755404,9.945927378660704,2.576399909701567e-15,1.1262746197863021e-13,9.602436624993956e-14,COL10A1/COL11A1/MMP1/EPYC/MMP11/HAPLN1/MMP13/COMP/COL20A1/CCN4/FN1/ADAMTS20/ESM1/ADAMTS14/BGN/ADAMDEC1/MATN3/MMP9/ACAN/COL1A1/COL22A1/IGFBPL1/COL5A1/SULF1/CTHRC1/COL5A2/OLFML2B/POSTN/HPX/COL1A2/MFAP2/COL8A1/ASPN/F12/COL3A1/COL12A1/MMP14/ADAM19/SERPINH1/VCAN/SEMA7A/MXRA5/ADAMTSL2/THBS2/RELL2/LOXL1/EDIL3/COL6A3/AEBP1/CTSD/ADAMTS7/SFRP2/COL8A2,53
