ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030527,structural constituent of chromatin,34/604,98/18662,0.3469387755102041,10.719489120151371,17.642974130883537,3.206652007674336e-26,2.404989005755752e-23,2.2514072517039812e-23,H2AC13/H3C12/H2BC17/H3C10/H1-6/H2AC17/H3C2/H2BC13/CENPA/H3C8/H2BC9/H2AC16/H4C14/H3C3/H2BC6/H2BC7/H3C7/H2AC4/H2BC14/H2AC12/H2BC10/H2AC18/H3C13/H2AC11/H2BC18/H2AC7/H4C9/H1-5/H2BC3/H2AX/H2BC11/H2BC15/H2AC21/HMGA1,34
GO:0046982,protein heterodimerization activity,44/604,371/18662,0.11859838274932614,3.6643758590528552,9.480141537536616,9.525475034952298e-14,3.572053138107111e-11,3.34394307805957e-11,CEACAM6/H2AC13/H3C12/TOP2A/H2BC17/H3C10/SIM2/IL12B/H2AC17/SYT1/H3C2/H2BC13/AURKA/CENPA/H3C8/H2BC9/H2AC16/ERBB2/H4C14/H3C3/H2BC6/H2BC7/H3C7/H2AC4/H2BC14/H2AC12/BIRC5/H2BC10/H2AC18/H3C13/H2AC11/H2BC18/H2AC7/H4C9/H2BC3/H2AX/PAFAH1B3/KCNK1/H2BC11/H2BC15/H2AC21/RCC1/BAX/BAK1,44
GO:0005201,extracellular matrix structural constituent,29/604,175/18662,0.1657142857142857,5.120132450331126,10.01493379557561,4.142272883353039e-13,1.0355682208382597e-10,9.69437197612799e-11,COL10A1/COL11A1/HAPLN1/COMP/FN1/ESM1/BGN/MATN3/ACAN/COL1A1/COL22A1/COL5A1/CTHRC1/COL5A2/POSTN/COL1A2/MFAP2/COL8A1/ASPN/COL3A1/COL12A1/VCAN/TUFT1/MXRA5/THBS2/EDIL3/COL6A3/AEBP1/COL8A2,29
GO:0008017,microtubule binding,31/604,281/18662,0.1103202846975089,3.408604557988263,7.440210068751317,2.7607689140525833e-9,5.176441713848593e-7,4.845875962297561e-7,KIF4A/NUF2/KIF26B/KIF20A/PLK1/KIF14/DLGAP5/CENPF/SPAG5/FAM83D/KIF2C/KIF18B/SPC24/SKA3/KIFC1/GTSE1/KNL1/KIF15/SKA1/KIF23/DIAPH3/NDC80/BIRC5/KIF11/CENPE/PRC1/GAS2L3/KIFC2/RACGAP1/KIF24/RCC2,31
GO:0030020,extracellular matrix structural constituent conferring tensile strength,12/604,42/18662,0.2857142857142857,8.827814569536423,9.288090482113011,5.391648609075061e-9,8.087472913612591e-7,7.571009731059086e-7,COL10A1/COL11A1/COL1A1/COL22A1/COL5A1/COL5A2/COL1A2/COL8A1/COL3A1/COL12A1/COL6A3/COL8A2,12
GO:0120543,macromolecular conformation isomerase activity,30/604,283/18662,0.10600706713780919,3.275337561135422,7.053898666437437,1.2617629964222626e-8,1.5772037455278282e-6,1.4764840677432442e-6,DQX1/KIF4A/TOP2A/KIF26B/KIF20A/KIF14/KIF2C/KIF18B/ERCC6L/KIFC1/RAD51/RECQL4/KIF15/POLQ/KIF23/KIF11/BRIP1/CENPE/BLM/RAD54B/KIFC2/MCM2/HELLS/PIF1/KIF24/CHTF18/DDX39A/HELZ2/IFIH1/MCM6,30
GO:0015631,tubulin binding,35/604,391/18662,0.08951406649616368,2.7657475313765008,6.453375397287115,6.038724721972301e-8,6.47006220211318e-6,6.0568863000834965e-6,KIF4A/NUF2/KIF26B/KIF20A/PLK1/KIF14/DLGAP5/CENPF/SPAG5/FAM83D/KIF2C/KIF18B/SPC24/SKA3/KIFC1/GTSE1/KNL1/KIF15/SKA1/KIF23/DIAPH3/NDC80/BIRC5/KIF11/CENPE/PRC1/GAS2L3/KIFC2/RACGAP1/STMN1/KIF24/BRCA1/CDK5R1/BRCA2/RCC2,35
GO:0003777,microtubule motor activity,13/604,68/18662,0.19117647058823528,5.906846513439812,7.413471424125088,2.299787895168816e-7,2.156051151720765e-5,2.018366481681053e-5,KIF4A/KIF26B/KIF20A/KIF14/KIF2C/KIF18B/KIFC1/KIF15/KIF23/KIF11/CENPE/KIFC2/KIF24,13
GO:0016853,isomerase activity,35/604,433/18662,0.08083140877598152,2.497476408240674,5.76598643322914,7.016217416214594e-7,5.8468478468454944e-5,5.4734701948715016e-5,DQX1/KIF4A/TOP2A/KIF26B/KIF20A/KIF14/KIF2C/KIF18B/ERCC6L/KIFC1/RAD51/RECQL4/KIF15/POLQ/KIF23/KIF11/BRIP1/CENPE/BLM/RAD54B/KIFC2/MCM2/HELLS/YJEFN3/PIF1/KIF24/CHTF18/GFUS/FKBP10/DDX39A/HELZ2/PDIA4/SDSL/IFIH1/MCM6,35
GO:0140097,"catalytic activity, acting on DNA",23/604,254/18662,0.09055118110236221,2.7977916253845754,5.27599056116948,9.307981330383122e-6,6.980985997787341e-4,6.535182681437413e-4,TOP2A/EXO1/NEIL3/EME1/ERCC6L/RAD51/RECQL4/POLQ/BRIP1/BLM/RAD54B/XRCC2/MCM2/FEN1/HELLS/PIF1/HMGA1/NME1/CHTF18/ISG20/DNMT1/MCM6/POLD4,23
