category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,35/330,143/9369,0.24475524475524477,6.948823903369358,13.696595328229835,2.1580068952120742e-20,5.956099030785325e-18,5.292795858783298e-18,H2AC13/H3C12/H2BC17/H3C10/H2AC17/H3C2/H2AC14/H2BC13/CD80/H3C8/H2BC9/H2AC16/H4C14/H3C3/H2BC6/H2BC7/H3C7/H2AC4/H2BC14/H2AC12/H2BC10/FCGR3A/H2AC18/FCGR1A/H3C13/H2AC11/H2BC18/H2AC7/H4C9/H2BC3/H2AX/H2BC11/H2BC15/HLA-DQB1/H2AC21,35
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,36/330,158/9369,0.22784810126582278,6.468814729574223,13.246116820236422,7.937095203948843e-20,1.0953191381449404e-17,9.733385171158319e-18,CDC6/BUB1/PLK1/PKMYT1/CDC20/CDK1/AURKB/TICRR/CCNE2/CDCA5/CDC45/PTTG1/SGO1/TRIP13/CCNE1/TTK/ESPL1/BUB1B/CDC25C/KNL1/CCNB2/E2F1/ESCO2/E2F2/CCNA2/ORC1/NDC80/CCNB1/CDKN2A/CHEK1/CDC25A/MCM2/MAD2L1/CDC7/DBF4/MCM6,36
Human Diseases,Substance dependence,hsa05034,Alcoholism,34/330,191/9369,0.17801047120418848,5.053879105188005,10.815177903649078,2.7207340503349424e-15,2.503075326308147e-13,2.2243194165896198e-13,H2AC13/H3C12/H2BC17/H3C10/H2AC17/H3C2/H2AC14/H2BC13/H3C8/H2BC9/H2AC16/H4C14/H3C3/H2BC6/H2BC7/H3C7/CREB3L1/H2AC4/H2BC14/H2AC12/H2BC10/H2AC18/H3C13/ADORA2A/H2AC11/H2BC18/H2AC7/H4C9/H2BC3/H2AX/H2BC11/GRIN2D/H2BC15/H2AC21,34
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,33/330,195/9369,0.16923076923076924,4.804615384615385,10.25814692985147,3.280603436463533e-14,2.2636163711598378e-12,2.0115278965684295e-12,H2AC13/H3C12/H2BC17/H3C10/H2AC17/H3C2/H2AC14/H2BC13/H3C8/H2BC9/H2AC16/H4C14/H3C3/H2BC6/H2BC7/H3C7/H2AC4/H2BC14/H2AC12/H2BC10/FCGR3A/H2AC18/FCGR1A/H3C13/H2AC11/H2BC18/H2AC7/H4C9/H2BC3/H2AX/H2BC11/H2BC15/H2AC21,33
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,27/330,205/9369,0.13170731707317074,3.739290465631929,7.576919862432868,2.750643455626872e-9,1.5183551875060334e-7,1.3492630003390763e-7,CCR8/H2BC17/CDC20/CDK1/H2BC13/CCNE2/H2BC9/CCNE1/H4C14/H2BC6/H2BC7/CCNA2/CREB3L1/H2BC14/H2BC10/SCIN/H2BC18/CDKN2A/H4C9/CHEK1/H2BC3/H2BC11/IRF7/H2BC15/PMAIP1/BAX/BAK1,27
Genetic Information Processing,Replication and repair,hsa03460,Fanconi anemia pathway,12/330,54/9369,0.2222222222222222,6.3090909090909095,7.475596121330256,2.7053314895478767e-7,1.2444524851920232e-5,1.1058635737976409e-5,UBE2T/EME1/RAD51/BRIP1/BLM/FANCI/FANCA/BRCA1/BRCA2/FANCD2/RMI1/FANCB,12
Genetic Information Processing,Replication and repair,hsa03440,Homologous recombination,9/330,41/9369,0.21951219512195122,6.232150776053214,6.415021674730064,9.676398498664787e-6,3.815265693759259e-4,3.390377218329166e-4,EME1/RAD51/BRIP1/BLM/RAD54B/XRCC2/BRCA1/BRCA2/POLD4,9
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,16/330,138/9369,0.11594202898550725,3.291699604743083,5.181948295160911,2.637440554683711e-5,9.099169913658803e-4,8.085837490017167e-4,BUB1/PLK1/PKMYT1/CDC20/CDK1/CCNE2/AURKA/PTTG1/SGO1/CCNE1/ESPL1/CDC25C/CCNB2/CCNB1/MAD2L1/FBXO43,16
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,11/330,75/9369,0.14666666666666667,4.164000000000001,5.256370753648319,5.705953447214276e-5,0.001715404259875402,0.0015243676298663947,RRM2/CDK1/CCNE2/CCNE1/GTSE1/CCNB2/CCNB1/CDKN2A/CHEK1/PMAIP1/BAX,11
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,13/330,103/9369,0.1262135922330097,3.5833186231244483,5.036984993486552,6.215232825635515e-5,0.001715404259875402,0.0015243676298663947,COL10A1/COL11A1/COL20A1/COL1A1/COL22A1/COL5A1/COL5A2/COL1A2/COL8A1/COL3A1/COL12A1/COL6A3/COL8A2,13
