ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-69620,Cell Cycle Checkpoints,71/428,292/11230,0.24315068493150685,6.379864934067341,18.541043705497874,4.477793479756093e-38,4.6524274254665805e-35,3.4973923810305486e-35,CDC6/UBE2C/H2BC17/EXO1/NUF2/BUB1/PLK1/PKMYT1/CLSPN/CDC20/CENPF/KIF2C/CDK1/AURKB/SPC24/H2BC13/CCNE2/CDC45/CENPA/ERCC6L/CDCA8/SGO1/H2BC9/CCNE1/MCM10/GTSE1/BUB1B/CDC25C/H4C14/KNL1/CCNB2/SKA1/H2BC6/H2BC7/CCNA2/ZWINT/ORC1/NDC80/H2BC14/BIRC5/CENPM/H2BC10/CENPI/PSMD3/CENPU/CCNB1/SPC25/BRIP1/CENPE/UBE2S/CDKN2A/BLM/H4C9/CHEK1/H2BC3/H2AX/CDC25A/MCM2/MAD2L1/H2BC11/H2BC15/CENPK/CDC7/DBF4/BRCA1/CENPL/CENPO/RMI1/KNTC1/MCM6/RCC2,71
R-HSA-68886,M Phase,76/428,405/11230,0.18765432098765433,4.923733702549902,16.00860256788062,1.710557746250917e-32,8.886347491773514e-30,6.680178145885162e-30,NEK2/H3C12/UBE2C/H2BC17/TUBB3/H3C10/NUF2/KIF20A/BUB1/PLK1/CDC20/CENPF/KIF2C/NCAPH/CDK1/H3C2/H2AC14/AURKB/SPC24/H2BC13/CDCA5/NCAPG/CENPA/ERCC6L/H3C8/PTTG1/CDCA8/SGO1/H2BC9/ESPL1/BUB1B/H4C14/KNL1/CCNB2/H3C3/SKA1/H2BC6/H2BC7/KIF23/ZWINT/H3C7/H2AC4/NDC80/H2BC14/BIRC5/CENPM/H2BC10/CENPI/H2AC18/PSMD3/CENPU/H3C13/CCNB1/SPC25/CENPE/UBE2S/H2AC7/H4C9/H2BC3/H2AX/TUBA1C/MAD2L1/H2BC11/H2BC15/CENPK/PLK4/NCAPG2/NUP210/TUBG1/SMC4/RCC1/CENPL/CENPO/KNTC1/ODF2/RCC2,76
R-HSA-195258,RHO GTPase Effectors,62/428,325/11230,0.19076923076923077,5.005463695183321,14.585522253256443,6.799452755002707e-27,2.354877137482604e-24,1.7702434891971964e-24,H3C12/H2BC17/TUBB3/H3C10/NUF2/BUB1/IQGAP3/PLK1/KIF14/CDC20/CENPF/KIF2C/H3C2/H2AC14/AURKB/SPC24/H2BC13/CENPA/ERCC6L/H3C8/CDCA8/SGO1/H2BC9/BUB1B/CDC25C/H4C14/KNL1/H3C3/SKA1/H2BC6/H2BC7/ZWINT/H3C7/H2AC4/DIAPH3/NDC80/H2BC14/BIRC5/CENPM/H2BC10/CENPI/H2AC18/CENPU/H3C13/SPC25/CENPE/H2AC7/H4C9/H2BC3/H2AX/PRC1/TUBA1C/MAD2L1/H2BC11/H2BC15/CENPK/CIT/CENPL/CFL1/CENPO/KNTC1/RCC2,62
R-HSA-2299718,Condensation of Prophase Chromosomes,29/428,73/11230,0.3972602739726027,10.423441300729738,16.07820575625915,1.1325393690380078e-22,2.9417710110762255e-20,2.211432136384742e-20,H3C12/H2BC17/H3C10/PLK1/CDK1/H3C2/H2AC14/H2BC13/H3C8/H2BC9/H4C14/H3C3/H2BC6/H2BC7/H3C7/H2AC4/H2BC14/H2BC10/H2AC18/H3C13/CCNB1/H2AC7/H4C9/H2BC3/H2AX/H2BC11/H2BC15/NCAPG2/SMC4,29
R-HSA-2500257,Resolution of Sister Chromatid Cohesion,35/428,129/11230,0.2713178294573643,7.118923422444396,13.913268326482747,9.209436307024224e-21,1.6625710619630655e-18,1.2498128037856185e-18,TUBB3/NUF2/BUB1/PLK1/CDC20/CENPF/KIF2C/CDK1/AURKB/SPC24/CDCA5/CENPA/ERCC6L/CDCA8/SGO1/BUB1B/KNL1/CCNB2/SKA1/ZWINT/NDC80/BIRC5/CENPM/CENPI/CENPU/CCNB1/SPC25/CENPE/TUBA1C/MAD2L1/CENPK/CENPL/CENPO/KNTC1/RCC2,35
R-HSA-5334118,DNA methylation,26/428,64/11230,0.40625,10.659316588785046,15.425097388716127,9.600987845792487e-21,1.6625710619630655e-18,1.2498128037856185e-18,H3C12/H2BC17/H3C10/UHRF1/H3C2/H2AC14/H2BC13/H3C8/H2BC9/H4C14/H3C3/H2BC6/H2BC7/H3C7/H2AC4/H2BC14/H2BC10/H2AC18/H3C13/H2AC7/H4C9/H2BC3/H2AX/H2BC11/H2BC15/DNMT1,26
R-HSA-69306,DNA Replication,41/428,184/11230,0.22282608695652173,5.846581674116212,13.194175814755507,1.2305147350398253e-20,1.8264354424376835e-18,1.3729953885707527e-18,CDC6/H3C12/UBE2C/H2BC17/H3C10/H3C2/H2AC14/H2BC13/CCNE2/CDC45/H3C8/H2BC9/CCNE1/MCM10/H4C14/H3C3/H2BC6/H2BC7/CCNA2/H3C7/ORC1/H2AC4/H2BC14/H2BC10/GINS1/H2AC18/PSMD3/H3C13/UBE2S/H2AC7/H4C9/H2BC3/H2AX/MCM2/H2BC11/H2BC15/FEN1/CDC7/DBF4/MCM6/POLD4,41
R-HSA-9645723,Diseases of programmed cell death,31/428,100/11230,0.31,8.133878504672898,14.263249050511517,2.0902598378126006e-20,2.714724964359115e-18,2.0407536837591443e-18,H3C12/H2BC17/H3C10/H3C2/H2AC14/H2BC13/H3C8/H2BC9/CDC25C/H4C14/H3C3/H2BC6/H2BC7/H3C7/H2AC4/H2BC14/H2BC10/EZH2/H2AC18/H3C13/CDKN2A/H2AC7/H4C9/H2BC3/H2AX/CDC25A/H2BC11/H2BC15/CDK5/CDK5R1/DNMT1,31
R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,27/428,73/11230,0.3698630136986301,9.704583279989759,14.851695525214401,3.228420586037929e-20,3.1979953317184658e-18,2.4040449178208825e-18,H2BC17/HJURP/H2AC14/H2BC13/CENPA/H2BC9/H4C14/KNL1/H2BC6/H2BC7/H2AC4/H2BC14/CENPM/H2BC10/CENPI/H2AC18/CENPU/OIP5/H2AC7/H4C9/H2BC3/H2AX/H2BC11/H2BC15/CENPK/CENPL/CENPO,27
R-HSA-774815,Nucleosome assembly,27/428,73/11230,0.3698630136986301,9.704583279989759,14.851695525214401,3.228420586037929e-20,3.1979953317184658e-18,2.4040449178208825e-18,H2BC17/HJURP/H2AC14/H2BC13/CENPA/H2BC9/H4C14/KNL1/H2BC6/H2BC7/H2AC4/H2BC14/CENPM/H2BC10/CENPI/H2AC18/CENPU/OIP5/H2AC7/H4C9/H2BC3/H2AX/H2BC11/H2BC15/CENPK/CENPL/CENPO,27
