symbol,mean_tumor,mean_normal,log2FC_tcga
COL10A1,3056.899,22.431,7.028
IBSP,140.59,0.372,6.689
CST1,478.849,3.798,6.644
MMP1,762.693,6.862,6.602
COL11A1,4426.166,47.459,6.513
MMP11,9334.295,118.934,6.282
MMP13,716.868,8.909,6.179
CBLN2,345.718,4.755,5.913
EPYC,85.405,0.991,5.44
PRAME,629.107,15.693,5.238
HAPLN1,132.173,2.962,5.071
INSM1,159.984,4.203,4.951
S100P,1230.982,42.597,4.821
CST2,69.057,1.611,4.746
COMP,2824.518,114.364,4.614
WT1,110.673,4.288,4.4
ACAN,375.26,17.026,4.384
GJB2,991.731,50.406,4.271
CEACAM6,4806.022,254.122,4.236
NEK2,554.918,28.64,4.229
UBE2C,806.258,43.458,4.183
PKMYT1,439.508,23.341,4.178
KIF4A,596.237,35.547,4.03
SLC5A8,189.346,11.387,3.942
DQX1,40.474,1.712,3.935
MSLN,554.383,35.753,3.918
HAGHL,224.815,13.966,3.915
PITX1,690.224,45.29,3.9
TYRP1,43.855,2.029,3.888
NUF2,370.992,24.139,3.887
MYBL2,1221.287,83.526,3.854
IQGAP3,791.719,55.025,3.823
CCL11,29.761,1.193,3.81
LRRC15,3181.736,229.506,3.787
SLC24A2,20.7,0.579,3.781
TROAP,291.811,20.489,3.768
MELK,433.445,30.933,3.766
CCDC78,136.75,9.284,3.744
CXCL11,320.535,24.4,3.662
CDC25C,119.502,8.735,3.63
KIF14,257.703,20.651,3.579
FOXM1,1221.084,101.551,3.575
KIF18B,244.737,19.687,3.57
PLK1,653.138,54.298,3.564
BIRC5,509.174,42.419,3.555
TPX2,1694.912,144.537,3.543
EXO1,295.366,24.556,3.536
CDC20,835.861,71.433,3.53
SERPINB7,49.695,3.403,3.525
CXCL10,1131.726,98.198,3.513
HJURP,330.62,28.104,3.51
ASPM,701.296,60.782,3.507
AURKB,261.339,22.157,3.502
ISG15,2633.282,233.005,3.493
CILP2,359.434,31.312,3.48
KIF2C,599.692,52.873,3.479
KIF20A,636.993,56.59,3.47
TOP2A,3548.615,320.129,3.466
TFR2,64.132,4.913,3.462
PBK,319.639,28.418,3.446
BUB1,556.726,50.609,3.434
HOXC11,152.89,13.303,3.428
UHRF1,465.792,42.639,3.419
FAM83D,421.282,38.522,3.417
MMP9,4146.979,387.932,3.415
CEP55,489.037,45.011,3.413
NEIL3,69.242,5.632,3.405
DLGAP5,374.504,34.51,3.403
CHRNA6,18.511,0.856,3.394
ANLN,961.596,91.399,3.381
RRM2,1187.341,115.801,3.347
NDC80,336.222,32.385,3.336
SKA1,176.849,16.686,3.33
CENPA,161.203,15.309,3.314
INHBA,406.297,40.104,3.309
GABRD,76.442,6.833,3.305
COL22A1,155.676,15.064,3.286
CCNB2,520.587,52.83,3.276
UBE2T,488.904,49.623,3.275
IGFL2,30.613,2.27,3.273
MCM10,286.948,29.328,3.247
CKAP2L,195.96,19.815,3.242
PTTG1,490.46,51.48,3.227
CADPS,30.827,2.417,3.219
DEPDC1,306.516,32.067,3.217
CDC45,215.857,22.445,3.209
SPC24,27.967,2.16,3.196
TUBB3,1195.419,131.169,3.178
CLEC5A,145.585,15.278,3.171
CENPF,2521.529,279.895,3.167
CDK1,1007.264,111.502,3.164
KIFC1,726.77,81.556,3.14
HMMR,320.988,35.61,3.137
CDCA3,283.35,31.375,3.135
SPC25,148.654,16.036,3.135
ARTN,83.807,8.693,3.129
GAL3ST2,16.303,0.983,3.125
AURKA,555.394,63.138,3.117
ONECUT2,83.988,8.806,3.116
CXCL9,2379.319,276.009,3.103
TK1,1378.171,161.138,3.089
SKA3,219.983,25.015,3.087
ADAMTS14,141.334,15.76,3.086
GTSE1,258.086,29.655,3.079
CLSPN,153.691,17.484,3.065
