symbol,ENSG_base,log2FC_P1,padj_P1,log2FC_P2,padj_P2,mean_log2FC,min_padj,mean_tumor,mean_normal,log2FC_tcga,tcga_validated
COL10A1,ENSG00000123500,8.123728954,4.3599999999999995e-133,6.334036539,1.9699999999999998e-23,7.229,4.3599999999999995e-133,3056.899,22.431,7.028,YES
IBSP,ENSG00000029559,7.834794948,1.5599999999999999e-43,8.187628681,1.89e-5,8.011,1.5599999999999999e-43,140.59,0.372,6.689,YES
CST1,ENSG00000170373,7.612882052,3.94e-25,7.308818038,3.08e-32,7.461,3.08e-32,478.849,3.798,6.644,YES
MMP1,ENSG00000196611,5.829517941,4.61e-31,7.918813199,5.6e-17,6.874,4.61e-31,762.693,6.862,6.602,YES
COL11A1,ENSG00000060718,7.12241505,7.16e-89,6.881435381,3.93e-39,7.002,7.16e-89,4426.166,47.459,6.513,YES
MMP11,ENSG00000099953,6.794439156,5.23e-125,5.434316253,3.7200000000000003e-85,6.114,5.23e-125,9334.295,118.934,6.282,YES
MMP13,ENSG00000137745,7.312682274,7.319999999999999e-46,3.765867587,7.89105e-4,5.539,7.319999999999999e-46,716.868,8.909,6.179,YES
CBLN2,ENSG00000141668,5.303014958,2.54e-9,4.699302873,8.09e-5,5.001,2.54e-9,345.718,4.755,5.913,YES
EPYC,ENSG00000083782,7.673388144,4.59e-45,5.217069658,3.68e-8,6.445,4.59e-45,85.405,0.991,5.44,YES
PRAME,ENSG00000185686,3.84164174,1.24e-7,6.867423428,9.37625e-4,5.355,1.24e-7,629.107,15.693,5.238,YES
HAPLN1,ENSG00000145681,6.397801504,9.95e-22,5.047849275,3.7554e-4,5.723,9.95e-22,132.173,2.962,5.071,YES
INSM1,ENSG00000173404,3.461029141,1.32e-9,2.783152986,0.039171763,3.122,1.32e-9,159.984,4.203,4.951,YES
S100P,ENSG00000163993,4.862585815,1.36e-22,4.456945451,0.014412568,4.66,1.36e-22,1230.982,42.597,4.821,YES
CST2,ENSG00000170369,4.592358804,4.67e-22,3.771088388,0.011328915,4.182,4.67e-22,69.057,1.611,4.746,YES
COMP,ENSG00000105664,5.367842315,6.9199999999999995e-37,4.76878216,1.5e-18,5.068,6.9199999999999995e-37,2824.518,114.364,4.614,YES
WT1,ENSG00000184937,5.213023596,1.01e-19,5.465112409,3.77e-9,5.339,1.01e-19,110.673,4.288,4.4,YES
ACAN,ENSG00000157766,2.690935617,5.68e-10,3.256627919,0.049068405,2.974,5.68e-10,375.26,17.026,4.384,YES
GJB2,ENSG00000165474,4.765036851,6.34e-41,5.71932183,1.2599999999999999e-42,5.242,1.2599999999999999e-42,991.731,50.406,4.271,YES
CEACAM6,ENSG00000086548,5.41418003,2.5699999999999997e-24,4.555137779,0.035691224,4.985,2.5699999999999997e-24,4806.022,254.122,4.236,YES
NEK2,ENSG00000117650,4.498950726,3.28e-54,2.986770589,8.47e-7,3.743,3.28e-54,554.918,28.64,4.229,YES
UBE2C,ENSG00000175063,4.132264761,1.45e-39,3.154207048,5.43e-5,3.643,1.45e-39,806.258,43.458,4.183,YES
PKMYT1,ENSG00000127564,3.83532865,2.36e-32,2.614138619,0.001771625,3.225,2.36e-32,439.508,23.341,4.178,YES
KIF4A,ENSG00000090889,3.813051344,6.2e-47,3.817919594,3.8e-8,3.815,6.2e-47,596.237,35.547,4.03,YES
SLC5A8,ENSG00000256870,1.512063896,0.013842764,6.741632273,0.037136608,4.127,0.013842764,189.346,11.387,3.942,YES
DQX1,ENSG00000144045,4.580716709,4.0799999999999996e-23,3.206258428,0.037055539,3.893,4.0799999999999996e-23,40.474,1.712,3.935,YES
MSLN,ENSG00000102854,4.927112647,5.45e-6,3.886175924,0.03953704,4.407,5.45e-6,554.383,35.753,3.918,YES
HAGHL,ENSG00000103253,3.062737259,4.75e-25,2.052743916,0.021233482,2.558,4.75e-25,224.815,13.966,3.915,YES
PITX1,ENSG00000069011,3.071029001,8.41e-12,4.611131485,2.15e-16,3.841,2.15e-16,690.224,45.29,3.9,YES
TYRP1,ENSG00000107165,2.587188273,1.39e-5,6.18224853,3.71e-5,4.385,1.39e-5,43.855,2.029,3.888,YES
NUF2,ENSG00000143228,3.858213378,2.3e-47,3.104546545,3.31e-13,3.481,2.3e-47,370.992,24.139,3.887,YES
MYBL2,ENSG00000101057,3.518831473,2.68e-23,3.988690491,2.66e-13,3.754,2.68e-23,1221.287,83.526,3.854,YES
IQGAP3,ENSG00000183856,3.531100027,5.3e-39,3.097951357,5.67e-11,3.315,5.3e-39,791.719,55.025,3.823,YES
CCL11,ENSG00000172156,4.662640794,1.7999999999999998e-30,3.720515975,3.95788e-4,4.192,1.7999999999999998e-30,29.761,1.193,3.81,YES
LRRC15,ENSG00000172061,4.1162061660000004,5.419999999999999e-31,5.345173117,7.24e-18,4.731,5.419999999999999e-31,3181.736,229.506,3.787,YES
SLC24A2,ENSG00000155886,5.624587711,7.379999999999999e-42,4.780474737,3.86e-12,5.203,7.379999999999999e-42,20.7,0.579,3.781,YES
TROAP,ENSG00000135451,3.554865255,3.73e-33,2.409274729,0.001821206,2.982,3.73e-33,291.811,20.489,3.768,YES
MELK,ENSG00000165304,3.483754657,3.87e-33,3.714814497,2.57e-10,3.599,3.87e-33,433.445,30.933,3.766,YES
CCDC78,ENSG00000162004,3.560568701,5.55e-20,2.784151974,0.014591812,3.172,5.55e-20,136.75,9.284,3.744,YES
CXCL11,ENSG00000169248,3.767895587,4.5500000000000006e-21,5.175297802,1.3599999999999999e-34,4.472,1.3599999999999999e-34,320.535,24.4,3.662,YES
CDC25C,ENSG00000158402,3.227260826,4.51e-30,1.904027093,0.02847843,2.566,4.51e-30,119.502,8.735,3.63,YES
KIF14,ENSG00000118193,3.483417049,2.82e-28,3.042522966,3.85e-7,3.263,2.82e-28,257.703,20.651,3.579,YES
FOXM1,ENSG00000111206,3.327444326,3.34e-33,2.866539733,8.6700000000000007e-05,3.097,3.34e-33,1221.084,101.551,3.575,YES
KIF18B,ENSG00000186185,3.11102888,3.2999999999999996e-23,2.825190964,1.42e-5,2.968,3.2999999999999996e-23,244.737,19.687,3.57,YES
PLK1,ENSG00000166851,3.245319037,6.67e-34,3.326912049,6.84e-8,3.286,6.67e-34,653.138,54.298,3.564,YES
BIRC5,ENSG00000089685,2.708208393,1.26e-13,1.792880143,7.83296e-4,2.251,1.26e-13,509.174,42.419,3.555,YES
TPX2,ENSG00000088325,3.344043521,1.96e-40,3.20346057,6.37e-7,3.274,1.96e-40,1694.912,144.537,3.543,YES
EXO1,ENSG00000174371,3.444651242,4.6e-28,3.627528305,5.94e-12,3.536,4.6e-28,295.366,24.556,3.536,YES
CDC20,ENSG00000117399,3.354155131,1.2900000000000002e-27,3.013576984,3.13518e-4,3.184,1.2900000000000002e-27,835.861,71.433,3.53,YES
SERPINB7,ENSG00000166396,1.436563085,0.006169054,5.894867252,3.60823e-4,3.666,3.60823e-4,49.695,3.403,3.525,YES
CXCL10,ENSG00000169245,3.203098906,2.81e-17,4.561936083,4.84e-35,3.883,4.84e-35,1131.726,98.198,3.513,YES
HJURP,ENSG00000123485,3.419101366,2.41e-32,2.903411427,2.7e-5,3.161,2.41e-32,330.62,28.104,3.51,YES
ASPM,ENSG00000066279,3.249943758,2.57e-27,3.566282754,7.54e-12,3.408,2.57e-27,701.296,60.782,3.507,YES
AURKB,ENSG00000178999,3.079699588,5.3199999999999996e-24,2.825256488,2.51e-5,2.952,5.3199999999999996e-24,261.339,22.157,3.502,YES
ISG15,ENSG00000187608,3.750884834,8.92e-19,2.736317459,0.007960678,3.244,8.92e-19,2633.282,233.005,3.493,YES
CILP2,ENSG00000160161,3.659746961,1.4099999999999999e-40,3.386665571,7.01e-11,3.523,1.4099999999999999e-40,359.434,31.312,3.48,YES
KIF2C,ENSG00000142945,3.106196094,7.069999999999999e-31,2.966332316,6.37e-7,3.036,7.069999999999999e-31,599.692,52.873,3.479,YES
KIF20A,ENSG00000112984,3.426247771,4.619999999999999e-31,3.337253103,7.19e-9,3.382,4.619999999999999e-31,636.993,56.59,3.47,YES
TOP2A,ENSG00000131747,3.8204846,8.68e-30,3.51387187,1.95e-7,3.667,8.68e-30,3548.615,320.129,3.466,YES
TFR2,ENSG00000106327,3.083076975,6.39e-16,2.864344631,0.007072155,2.974,6.39e-16,64.132,4.913,3.462,YES
PBK,ENSG00000168078,3.269270968,2.3800000000000002e-27,2.334676592,0.011246365,2.802,2.3800000000000002e-27,319.639,28.418,3.446,YES
BUB1,ENSG00000169679,3.255204912,1.2100000000000001e-29,3.454982718,9.88e-10,3.355,1.2100000000000001e-29,556.726,50.609,3.434,YES
HOXC11,ENSG00000123388,3.675669376,3.34e-17,4.26392005,7.43e-8,3.97,3.34e-17,152.89,13.303,3.428,YES
UHRF1,ENSG00000276043,3.308930106,2.61e-29,3.645271882,6.27e-10,3.477,2.61e-29,465.792,42.639,3.419,YES
FAM83D,ENSG00000101447,3.002257858,3.31e-29,3.079864453,2.11e-6,3.041,3.31e-29,421.282,38.522,3.417,YES
MMP9,ENSG00000100985,2.851067752,2.63e-9,3.386832267,0.023333144,3.119,2.63e-9,4146.979,387.932,3.415,YES
CEP55,ENSG00000138180,3.311986756,1.1599999999999999e-34,3.276011589,2.49e-6,3.294,1.1599999999999999e-34,489.037,45.011,3.413,YES
NEIL3,ENSG00000109674,3.223840815,1.75e-23,2.414697809,0.005537686,2.819,1.75e-23,69.242,5.632,3.405,YES
DLGAP5,ENSG00000126787,3.189823789,1.19e-28,3.273391475,3.11e-6,3.232,1.19e-28,374.504,34.51,3.403,YES
CHRNA6,ENSG00000147434,3.825693654,1.71e-15,6.024206992,1.5e-6,4.925,1.71e-15,18.511,0.856,3.394,YES
ANLN,ENSG00000011426,3.476956311,1.52e-33,3.683142198,1.82e-7,3.58,1.52e-33,961.596,91.399,3.381,YES
RRM2,ENSG00000171848,3.116124415,1.3e-20,3.42755294,1.54e-7,3.272,1.3e-20,1187.341,115.801,3.347,YES
NDC80,ENSG00000080986,3.010458545,2.3099999999999998e-30,1.556560978,0.002391506,2.284,2.3099999999999998e-30,336.222,32.385,3.336,YES
SKA1,ENSG00000154839,3.327241561,1.98e-34,1.532475803,0.010572244,2.43,1.98e-34,176.849,16.686,3.33,YES
CENPA,ENSG00000115163,2.886294673,7.11e-27,2.708704443,2.04015e-4,2.797,7.11e-27,161.203,15.309,3.314,YES
INHBA,ENSG00000122641,3.675472305,1.97e-36,4.020015862,1.43e-12,3.848,1.97e-36,406.297,40.104,3.309,YES
GABRD,ENSG00000187730,3.962257145,4.7699999999999996e-52,1.671512716,0.029922587,2.817,4.7699999999999996e-52,76.442,6.833,3.305,YES
COL22A1,ENSG00000169436,2.233762705,4.72e-7,3.438833003,0.004075001,2.836,4.72e-7,155.676,15.064,3.286,YES
CCNB2,ENSG00000157456,2.763769835,1.4400000000000001e-27,2.229768062,0.00996004,2.497,1.4400000000000001e-27,520.587,52.83,3.276,YES
UBE2T,ENSG00000077152,3.040394779,1.22e-36,3.044372688,4.62e-13,3.042,1.22e-36,488.904,49.623,3.275,YES
IGFL2,ENSG00000204866,4.801040823,2.54e-16,3.49053806,0.00766061,4.146,2.54e-16,30.613,2.27,3.273,YES
MCM10,ENSG00000065328,2.541066621,1.1e-21,2.741462981,1.13e-6,2.641,1.1e-21,286.948,29.328,3.247,YES
CKAP2L,ENSG00000169607,3.39798669,1.68e-33,3.902952522,1.55e-12,3.65,1.68e-33,195.96,19.815,3.242,YES
PTTG1,ENSG00000164611,2.9312679,8.73e-34,2.512941664,1.28e-5,2.722,8.73e-34,490.46,51.48,3.227,YES
CADPS,ENSG00000163618,1.4172867,2.8e-6,2.653623465,0.009017993,2.035,2.8e-6,30.827,2.417,3.219,YES
