symbol,top_subtype,top_mean_expr
ABCC5,Luminal B,2347.423142519685
ACAN,Basal-like,386.2462144329897
ACOT7,Normal-like,1029.016525
ADAM19,Basal-like,711.0620443298969
ADAM8,Basal-like,504.12120721649484
ADAMDEC1,Normal-like,598.2046750000001
ADAMTS14,Luminal A,141.25825151515153
ADAMTS20,Luminal B,3.6202653543307086
ADAMTS7,Basal-like,229.64721855670103
ADAMTSL2,Luminal A,208.65781515151514
ADORA2A,Luminal A,398.65497792207793
AEBP1,HER2-enriched,18701.11814310345
AIM2,Basal-like,89.01213402061856
ANKRD22,HER2-enriched,336.88687586206896
ANLN,Basal-like,2110.8734402061855
APOBEC3H,Normal-like,16.946550000000002
ARHGAP11A,Basal-like,836.6455041237114
ARSI,HER2-enriched,107.74913620689655
ARTN,Luminal A,82.46976406926407
ASF1B,Basal-like,866.6427731958763
ASPHD2,Luminal B,104.8417874015748
ASPM,Basal-like,1499.3986134020618
ASPN,Luminal A,3479.63386017316
ATAD2,Basal-like,3014.9529804123713
ATP6AP1,Luminal B,7454.52090472441
AURKA,Basal-like,921.5554886597938
AURKB,Basal-like,568.0716618556701
B4GALNT4,Luminal B,552.8866062992126
BAX,Basal-like,737.337156701031
BCL3,Normal-like,1809.8283125
BCL9,Luminal A,1611.3037874458873
BGN,Luminal A,17654.34890735931
BIRC5,Basal-like,985.55147216494845
BLM,Basal-like,432.89563402061856
BMP8A,HER2-enriched,361.79556551724136
BMP8B,HER2-enriched,141.93171551724137
BOP1,Basal-like,772.1356515463917
BRCA1,Luminal B,641.6488921259843
BRCA2,Basal-like,317.7589835051546
BRIP1,Luminal B,254.19607716535432
BST2,Luminal B,5058.207194488189
BUB1,Basal-like,1257.9198855670104
BUB1B,Basal-like,800.8520391752577
C1QTNF6,Luminal A,1118.7372991341992
C21orf58,Luminal B,181.72565196850394
CACNA1E,Basal-like,11.44610206185567
CADPS,Normal-like,62.471875
CALCA,Basal-like,39.49232474226804
CATSPER1,Normal-like,7.2754
CBLN2,Luminal A,583.1297523809524
CBS,Basal-like,1097.5379515463917
CBX2,Basal-like,1152.4302731958762
CCDC78,Normal-like,257.036825
