symbol,subtype,mean_expr
ABCC5,Basal-like,1049.9611773195877
ABCC5,HER2-enriched,1500.9933431034483
ABCC5,Luminal A,1595.39758008658
ABCC5,Luminal B,2347.423142519685
ABCC5,Normal-like,944.1261000000001
ACAN,Basal-like,386.2462144329897
ACAN,HER2-enriched,79.33927413793103
ACAN,Luminal A,92.34822294372294
ACAN,Luminal B,79.76284015748031
ACAN,Normal-like,112.39295
ACOT7,Basal-like,787.3810680412371
ACOT7,HER2-enriched,810.25745
ACOT7,Luminal A,481.0276380952381
ACOT7,Luminal B,748.1927307086614
ACOT7,Normal-like,1029.016525
ADAM19,Basal-like,711.0620443298969
ADAM19,HER2-enriched,623.4388241379311
ADAM19,Luminal A,453.33737056277056
ADAM19,Luminal B,455.378062992126
ADAM19,Normal-like,429.8638875
ADAM8,Basal-like,504.12120721649484
ADAM8,HER2-enriched,497.0914620689655
ADAM8,Luminal A,344.2809753246753
ADAM8,Luminal B,446.9777110236221
ADAM8,Normal-like,367.3629625
ADAMDEC1,Basal-like,413.10544020618556
ADAMDEC1,HER2-enriched,264.0610275862069
ADAMDEC1,Luminal A,99.41534415584415
ADAMDEC1,Luminal B,215.92214881889763
ADAMDEC1,Normal-like,598.2046750000001
ADAMTS14,Basal-like,93.24573092783506
ADAMTS14,HER2-enriched,132.01305862068966
ADAMTS14,Luminal A,141.25825151515153
ADAMTS14,Luminal B,111.16460708661417
ADAMTS14,Normal-like,94.308
ADAMTS20,Basal-like,1.6131917525773196
ADAMTS20,HER2-enriched,1.6988206896551725
ADAMTS20,Luminal A,1.7225450216450215
ADAMTS20,Luminal B,3.6202653543307086
ADAMTS20,Normal-like,0.12436250000000001
ADAMTS7,Basal-like,229.64721855670103
ADAMTS7,HER2-enriched,220.89449655172413
ADAMTS7,Luminal A,179.88359134199135
ADAMTS7,Luminal B,154.6251937007874
ADAMTS7,Normal-like,116.8464
ADAMTSL2,Basal-like,110.23987319587629
ADAMTSL2,HER2-enriched,181.43738448275863
ADAMTSL2,Luminal A,208.65781515151514
ADAMTSL2,Luminal B,149.66962598425198
ADAMTSL2,Normal-like,141.1870375
ADORA2A,Basal-like,220.21871958762887
ADORA2A,HER2-enriched,300.5157948275862
ADORA2A,Luminal A,398.65497792207793
ADORA2A,Luminal B,368.67900708661415
