"depmap_id","gene","rna_expression","entrez_id","gene_name","cell_line","cell_line_name","lineage_molecular_subtype","primary_or_metastasis"
"ACH-000828","STAT1 (6772)",4.51349074558812,6772,"STAT1","ZR7530_BREAST","ZR-75-30","HER2_amp","Metastasis"
"ACH-000117","STAT1 (6772)",5.17552460108987,6772,"STAT1","EFM192A_BREAST","EFM-192A","HER2_amp","Metastasis"
"ACH-000017","STAT1 (6772)",4.58436125251871,6772,"STAT1","SKBR3_BREAST","SK-BR-3","HER2_amp","Metastasis"
"ACH-000554","STAT1 (6772)",4.87921563716567,6772,"STAT1","UACC893_BREAST","UACC-893","HER2_amp","Primary"
"ACH-000276","STAT1 (6772)",6.29314973674186,6772,"STAT1","HCC38_BREAST","HCC38","basal_A","Primary"
"ACH-000818","STAT1 (6772)",5.11561593142811,6772,"STAT1","BT483_BREAST","BT-483","luminal","Primary"
"ACH-000856","STAT1 (6772)",5.09465834265454,6772,"STAT1","CAL51_BREAST","CAL-51","basal_B","Metastasis"
"ACH-000223","STAT1 (6772)",7.26237677776352,6772,"STAT1","HCC1937_BREAST","HCC1937","basal_A","Primary"
"ACH-000019","STAT1 (6772)",5.92291140625819,6772,"STAT1","MCF7_BREAST","MCF7","luminal","Metastasis"
"ACH-000330","STAT1 (6772)",4.68985823631925,6772,"STAT1","EFM19_BREAST","EFM-19","luminal","Metastasis"
"ACH-000725","STAT1 (6772)",5.29719141656586,6772,"STAT1","HCC202_BREAST","HCC202","HER2_amp","Primary"
"ACH-000643","STAT1 (6772)",6.8870377914192,6772,"STAT1","HDQP1_BREAST","HDQ-P1","basal_A","Primary"
"ACH-000711","STAT1 (6772)",6.57908961472428,6772,"STAT1","JIMT1_BREAST","JIMT-1","basal_A","Metastasis"
"ACH-000248","STAT1 (6772)",4.95326523901484,6772,"STAT1","AU565_BREAST","AU565","HER2_amp","Metastasis"
"ACH-000857","STAT1 (6772)",5.38818953715608,6772,"STAT1","CAL851_BREAST","CAL-85-1","basal_A","Primary"
"ACH-000196","STAT1 (6772)",4.75488750216347,6772,"STAT1","HCC1599_BREAST","HCC1599","basal_A","Primary"
"ACH-000258","STAT1 (6772)",5.23419472295381,6772,"STAT1","DU4475_BREAST","Du4475","luminal_HER2_amp","Metastasis"
"ACH-000691","STAT1 (6772)",4.34269695998193,6772,"STAT1","HCC2157_BREAST","HCC2157","basal_A","Primary"
"ACH-000374","STAT1 (6772)",6.56025639801327,6772,"STAT1","HCC1143_BREAST","HCC1143","basal_A","Primary"
