"gene_name","mean_tpm","median_tpm","n_lines"
"S100A11",10.055939943015,10.1502631988051,62
"TUBA1C",8.79866297749827,8.93753198304118,62
"CTSD",8.46948106102316,8.38319041545575,62
"NME1",8.32431754135688,8.38818855973719,62
"CKS2",8.25169112579978,8.28405259878821,62
"CD24",8.09781951441985,8.72309562510623,62
"STMN1",8.07942389649289,8.26370502508184,62
"PSME2",7.6938545614183,7.80776221256232,62
"KPNA2",7.64957004500285,7.8508419913743,62
"PPP1R14B",7.52906107240811,7.59870767092913,62
"UBE2C",7.51049200333398,7.67123319105001,62
"PTTG1",7.25999416857791,7.3695094720913,62
"MTHFD2",7.21811119211715,7.32681487569714,62
"SYNGR2",7.20413349739243,7.34949684882638,62
"CCNB1",7.11590880729526,7.28188181292894,62
"SLC25A39",7.07892443553253,7.10380472321479,62
"ATP6AP1",7.07158327386527,7.13619796290018,62
"CRABP2",7.02166704011423,7.66840051907511,62
"SLC7A5",7.0095161926944,7.07862388123077,62
"EIF4EBP1",7.00239618817722,6.92423746864221,62
"HMGA1",6.89060289184381,6.81332625901845,62
"PRC1",6.85690690225159,7.15382661217607,62
"TFRC",6.83130418176456,6.97876357017872,62
"IER3",6.82921229605702,7.09487675930242,62
"PSMD3",6.79827605302679,6.50977098875335,62
"PDIA4",6.79616417070381,6.87442770724403,62
"HMGB3",6.78746369300169,6.8326344389177,62
"ERBB2",6.72762869020129,5.75101746003387,62
"LRRC59",6.71117492406877,6.67711794036263,62
"PARP1",6.70914772340415,6.8792861392282,62
"BAX",6.65976319935046,6.86081398834787,62
"TK1",6.64668973211761,6.91630677511132,62
"TOP2A",6.56452284090183,6.71273308803209,62
"UBE2T",6.53214758488124,6.66519359765979,62
"PYCR1",6.51704623041212,6.7366264099518,62
"ZWINT",6.48542790766495,6.80011210752579,62
"CDC20",6.42445662379692,6.7909656748736,62
"RRM2",6.41352184970554,6.71356390344607,62
"UBE2S",6.368534724624,6.41798786616581,62
"TYMS",6.29084125908608,6.56622505902981,62
"S100P",6.28207027323814,6.19289254411516,62
"AURKA",6.26697554898568,6.35568913831506,62
"CDK1",6.24199443539801,6.3606967333855,62
"TPX2",6.21616179174538,6.34730881365294,62
"CDKN3",6.19946870653708,6.17875159044025,62
"SQLE",6.19043718181439,6.32126916992755,62
"CENPF",6.17148098809633,6.41933606473668,62
"SDC1",6.16856654011204,6.07509558123952,62
"RCC2",6.16456974954437,6.2552111948336,62
"RCC1",6.13009410998395,6.28335551188826,62
"SMC4",6.12939234121959,6.3829262692677,62
"TMEM132A",6.08239348041752,6.32038693631359,62
"MAL2",6.07900422421518,6.99847465183155,62
"MYBL2",6.04216735284479,6.37607489843894,62
"PAFAH1B3",6.03411068289955,6.34499409520148,62
"STARD3",6.01917941570889,5.49313264653513,62
"SEPHS2",6.00532178998261,6.23762802090373,62
"TUBG1",6.00521888590577,6.11436317752925,62
"SPAG5",5.94627148229123,6.15970989829051,62
"LMNB1",5.93450000445588,6.17441864631899,62
"AURKB",5.90211342879684,6.18853939176827,62
"RNASEH2A",5.90169605992473,6.19473313877373,62
"BOP1",5.86009452600622,5.95813874191941,62
"RACGAP1",5.82551364810442,6.1877556359474,62
"CCNB2",5.77865153918189,6.07487643307191,62
"TACC3",5.76270554113709,5.79272508659681,62
"BIRC5",5.72459492774172,5.95957188771614,62
"MAGED1",5.72179425267265,5.80027245265926,62
"FEN1",5.71502469310682,6.14473929969281,62
"MUC1",5.71493176918816,5.85549677936812,62
"PKMYT1",5.69963842365129,5.95120632560205,62
"LMNB2",5.69171054810521,5.91698749445487,62
"NUDT1",5.68997031959265,5.77539339778545,62
"FOXM1",5.65217538432884,5.79561925067951,62
"ANLN",5.64928344565547,5.75008423236442,62
"RUSC1",5.64623360758746,5.72054625428814,62
"PLK1",5.63201407512759,5.9362374448205,62
"DPP3",5.62183336439571,5.82403434973719,62
"SLC39A4",5.6196711397625,5.88787842359006,62
"KIFC1",5.60703199546801,5.90493616425977,62
"ACOT7",5.59737548594307,5.74279049543206,62
"FLAD1",5.56374370981823,5.65906570392589,62
"FANCI",5.50222083785731,5.76633010660211,62
"BST2",5.4847572356629,6.81112631811348,62
"MCM2",5.46915458265362,5.77522636708454,62
"CDCA3",5.46437561644248,5.57511640216921,62
"TROAP",5.4312387406029,5.542173006825,62
"MAD2L1",5.41771889976119,5.61544511754138,62
"CDC6",5.41715468014305,5.43498743090518,62
"RECQL4",5.4038444453322,5.63685558380977,62
"LAGE3",5.37177055920005,5.44556660242511,62
"STAT1",5.36436411002858,5.22958054397704,62
"NACC1",5.35933553332762,5.58821786406406,62
"ASF1B",5.33285086791135,5.63676796867728,62
"ATAD2",5.3268132847796,5.55716535621779,62
"CDCA5",5.29028802653324,5.7041779277703,62
"KIF23",5.28690692966045,5.4808941305636,62
"SLC20A1",5.28106437043269,5.2554999422184,62
"KIF20A",5.18336819890459,5.25511035323572,62
"LPCAT1",5.15807393723479,5.11656235695645,62
"KIF2C",5.15562382000541,5.31057300300336,62
"SAMD1",5.13581618285274,5.21171108725416,62
"FN1",5.13339743367144,4.48217462188767,62
"MKI67",5.12307565167017,5.32732266810394,62
"EZH2",5.10549816339747,5.25272690624185,62
"NEK2",5.07974031192933,5.28909439042012,62
"SLC35A2",5.06487825367656,5.13339906686674,62
"CHPF",5.06326398898893,5.09887127711297,62
"BUB1B",5.04294497331882,5.22303613106718,62
"METRN",5.01961251979325,5.03073116434088,62
"NCAPG2",5.01568727248863,5.17128515043579,62
"FAM83D",5.01306430181573,5.11847707478043,62
"ARHGAP11A",5.00309336331887,5.40866273154582,62
"PAQR4",4.99419507449872,5.02248854540163,62
"MELK",4.99323427444817,5.16970555819616,62
"CCNA2",4.97056789765279,5.2278118719051,62
"KIFC2",4.96539680295614,5.14010003684959,62
"ABCC5",4.96492558942962,5.13426515215294,62
"PBK",4.95697768272977,5.1601961927731,62
"NUF2",4.95095174588072,5.14899129064847,62
"CKAP2",4.93575444733716,5.04919451342164,62
"CDCA8",4.92612740310647,5.15076158690673,62
"TRIP13",4.92211956440831,5.11914790825746,62
"TUBB3",4.90400729005112,4.96360971958389,62
"CENPM",4.8999994579457,4.96669484665429,62
"KNTC1",4.88260130739591,5.01407984479891,62
"CHTF18",4.86341091476779,5.195343246011,62
"NCAPH",4.85104254887488,5.06484796465258,62
"FKBP10",4.84725802775322,5.94060165201389,62
"CDC45",4.83695471228977,5.0005606579363,62
"TIMELESS",4.82290637448208,5.07023589999375,62
"ISG15",4.82265755936024,4.58841194922036,62
"UBE2L6",4.81003399755812,4.95465892033701,62
"UHRF1",4.79490477735681,4.97675194166003,62
"BUB1",4.79187094024826,4.78648783342426,62
"CDK5",4.7725877111157,4.72236655495156,62
"E2F1",4.76306831467661,5.0053988690422,62
"TMEM97",4.75813194694039,4.83042723867787,62
"HOXC10",4.7563313860856,5.11225615858048,62
"DONSON",4.74916694433774,4.72710337214194,62
"DLGAP5",4.70403037421074,4.80524539531585,62
"RAD51AP1",4.69841133867192,4.74840612157374,62
"HJURP",4.67372040892658,4.76128046759474,62
"CEP55",4.67251016990044,4.76197951729011,62
"PRR11",4.6556188648158,4.83539326416708,62
"FANCA",4.63445909469102,4.85089268727195,62
"FANCD2",4.60706544423571,4.67980560653439,62
"PLXNA3",4.58313217362246,4.64870004112456,62
"HMMR",4.57797565834386,4.70375731866201,62
"NDC80",4.56247910448027,4.57205850161616,62
"CBS",4.54872210062097,4.85658842031221,62
"CENPA",4.54424947071343,4.77373243371078,62
"TTYH3",4.51007949622193,4.58564845648351,62
"GTSE1",4.49473518493097,4.6286122347227,62
"PITX1",4.48124786588472,4.53791511025095,62
"TAP1",4.47665395324747,4.15852990567077,62
"SLC39A11",4.47404189153597,4.74817724428231,62
"IQGAP3",4.46089438273432,4.78464604395494,62
"DBF4",4.43823767667284,4.4956542010605,62
"KIF4A",4.42211852310603,4.62910739897248,62
"NUP210",4.39792993725491,4.77794545506117,62
"TLCD1",4.39033065054583,4.20747915897228,62
"SPC25",4.35942014596453,4.55545982056653,62
"BCL3",4.35803957161908,4.55581146072941,62
"TCF19",4.35762055042823,4.55028491768701,62
"MXD3",4.35689789277361,4.69960499055318,62
"TUFT1",4.35569586470949,4.48466159983579,62
"CHEK1",4.3440801403212,4.43461955087943,62
"MICALL2",4.34352177918386,4.59199456355845,62
"RAD51",4.31266397533674,4.31285880438993,62
"B4GALNT4",4.30090959598099,4.46564710248244,62
"CENPK",4.26939365233206,4.20042904724086,62
"IFITM1",4.26852350098922,3.92106829749078,62
"KIF11",4.23681890323608,4.3529692586143,62
"SLC16A3",4.22885513463791,4.17142624552307,62
"HELLS",4.21560572577527,4.39368488681261,62
"DTL",4.20464505894371,4.56589916291102,62
"KDELR3",4.17829239355933,4.34810456492583,62
"SLC27A4",4.17247116020195,4.31650777367885,62
"ASPM",4.14129621122272,4.18532191009795,62
"SPC24",4.14111276528696,4.34410416960621,62
"LPAR2",4.11431699620143,4.31903963450212,62
"CDKN2A",4.11323431355702,4.24974557386593,62
"HAGHL",4.1033223417649,3.94906789025518,62
"LRWD1",4.0951995961414,4.10601226456455,62
"SEMA3F",4.08693885153544,4.35073814136547,62
"TTK",4.08682109044255,4.31333820127721,62
"TPRN",4.05919355937823,3.9895845372891,62
"LRP8",4.0580849120698,4.25800363256274,62
"GINS1",4.05744319272968,4.14933923751712,62
"OIP5",4.05098846213479,4.18427680239056,62
"NCAPG",4.01568759498145,4.07418464880327,62
"EXO1",4.01217291997787,4.29834516273978,62
"CBX2",3.97619274792519,3.98313332061912,62
"CENPO",3.96709086720363,4.19455794955184,62
"KIF18B",3.95819718148888,4.12013927388149,62
"STX1A",3.95286543201342,3.90302247647451,62
"ESPL1",3.9525126016374,4.30643369588859,62
"FAM111B",3.94407014412593,4.24551225551562,62
"POC1A",3.94295364459611,3.98545902946575,62
"INTS7",3.92623800361173,4.10364336107609,62
"CCNE2",3.92546423033174,4.23796396926675,62
"CCNF",3.90178423911381,4.15459719057859,62
"EME1",3.90040833422145,3.91846574367988,62
"COL1A1",3.85833392341116,3.41461781219085,62
"CCNE1",3.84790922183048,3.8579466852738,62
"CENPL",3.83843766772262,4.01478386570134,62
"CIT",3.81342001095778,4.01120721121151,62
"SHCBP1",3.80804954224749,3.99716766616845,62
"BRCA1",3.78943374329924,3.88125779385877,62
"PLK4",3.78413220455448,3.88504979361599,62
"MND1",3.74938233293732,3.74576703257711,62
"DEPDC1",3.72987488294603,3.9262023314478,62
"EVPL",3.72222059813633,4.15551083831681,62
"MCM10",3.71915363220905,3.90807263653321,62
"KCNK1",3.71674537324897,4.27537723986814,62
"SKA3",3.70635009209457,3.73566039809626,62
"SYCP2",3.68716978695201,3.85284314652164,62
"SULF2",3.67981184752546,3.67169680424177,62
"DEPDC1B",3.65860958853633,3.76961663543302,62
"PASK",3.64941461264242,3.78750486014747,62
"COL12A1",3.64939439625752,3.71381230429526,62
"TDRKH",3.64701617029367,3.63397011765564,62
"CTXN1",3.64520707031265,3.80320334666669,62
"STIL",3.64221862958665,3.67518232017142,62
"SDSL",3.62341166708104,3.6438488031383,62
"PGP",3.614089303851,3.64615851544832,62
"PLAUR",3.61041874747114,3.21878033555011,62
"MICAL2",3.60470039838844,3.52797957511414,62
"WDR76",3.59469756090421,3.73063903491966,62
"KIF15",3.5925029738777,3.77503668527757,62
"WDHD1",3.58306801824235,3.63328178075169,62
"F12",3.57147653898174,3.91976756445288,62
"ISG20",3.53440889803889,3.55319928753787,62
"CKAP2L",3.53102851320255,3.71312818345792,62
"PIF1",3.52601272338225,3.57954108932943,62
"RAD54B",3.46030181400111,3.48088689704431,62
"IER5L",3.45915224711203,3.71780596348068,62
"RELL2",3.38212497747777,3.26525389032413,62
"FAM72A",3.3771507003606,3.51902381182126,62
"BCL9",3.37184462739507,3.3949350357838,62
"CDCA2",3.36253658084952,3.51159329376075,62
"RMI1",3.35604405700036,3.38453806878645,62
"CDC7",3.35347056849825,3.4964974834259,62
"CDC25C",3.35052875934458,3.34834469476883,62
"HOXC13",3.34387506307033,3.82321959280717,62
