"symbol","mean_log2FC","min_padj","tcga_log2FC","top_subtype","top_mean_expr","HR","cox_padj","mean_tpm","score_fc","score_tcga","score_subtype","score_survival","score_ccle","score_druggable","score_stromal","total_score"
"SHCBP1",3.087,7.53e-26,2.639,"HER2-enriched",419.375448275862,1.00113745521177,0.0282608188628823,3.80804954224749,2,1,2,3,1,2,0,11
"S100P",4.66,1.36e-22,4.821,"HER2-enriched",1856.37790862069,1.00002227565362,0.605649659071672,6.28207027323814,3,3,2,0,2,0,0,10
"MYBL2",3.754,2.68e-23,3.854,"Basal-like",2733.08448041237,1.00002172067509,0.888618681754135,6.04216735284479,2,2,2,0,2,2,0,10
"FOXM1",3.097,3.34e-33,3.575,"Basal-like",3100.40925257732,1.00001588323841,0.915256909745127,5.65217538432884,2,2,2,0,2,2,0,10
"PLK1",3.286,6.67e-34,3.564,"Basal-like",1330.7916443299,1.00026055663947,0.327342240623868,5.63201407512759,2,2,2,0,2,2,0,10
"KIF2C",3.036,7.07e-31,3.479,"Basal-like",1371.73717216495,0.999970616456338,0.919979264836138,5.15562382000541,2,2,2,0,2,2,0,10
"KIF20A",3.382,4.62e-31,3.47,"Basal-like",1259.34523092784,1.00006988550748,0.880570706888453,5.18336819890459,2,2,2,0,2,2,0,10
"TOP2A",3.667,8.68e-30,3.466,"HER2-enriched",6187.46278103448,0.999996300597603,0.930462802792726,6.56452284090183,2,2,2,0,2,2,0,10
"RRM2",3.272,1.3e-20,3.347,"HER2-enriched",2297.12896896552,1.00009013996504,0.523081858361541,6.41352184970554,2,2,2,0,2,2,0,10
"CDK1",3.019,6.46e-38,3.164,"Basal-like",1654.97038350515,0.99996672419997,0.888618681754135,6.24199443539801,2,2,2,0,2,2,0,10
"PRAME",5.355,1.24e-07,5.238,"Basal-like",1349.53670927835,1.00008496746416,0.327342240623868,2.73200757194983,3,3,2,0,1,0,0,9
"CEACAM6",4.985,2.57e-24,4.236,"HER2-enriched",11315.9937758621,1.00000440216226,0.685839716167926,2.41269761027145,3,3,2,0,1,0,0,9
"NEK2",3.743,3.28e-54,4.229,"Basal-like",853.829125773196,1.00007894436519,0.888618681754135,5.07974031192933,2,3,2,0,2,0,0,9
"PKMYT1",3.225,2.36e-32,4.178,"Basal-like",563.349480412371,1.00034199088658,0.425393385097925,5.69963842365129,2,3,2,0,2,0,0,9
"BIRC5",2.251,1.26e-13,3.555,"Basal-like",985.551472164948,1.00001513794591,0.967806758992079,5.72459492774172,1,2,2,0,2,2,0,9
"AURKB",2.952,5.32e-24,3.502,"Basal-like",568.07166185567,1.00019715342137,0.785913481781515,5.90211342879684,1,2,2,0,2,2,0,9
"BUB1",3.355,1.21e-29,3.434,"Basal-like",1257.91988556701,1.00011450735734,0.70422412444954,4.79187094024826,2,2,2,0,1,2,0,9
"CCNB1",2.062,7.23e-38,2.506,"Basal-like",1605.41199072165,1.0002266909473,0.327342240623868,7.11590880729526,1,1,2,0,3,2,0,9
"KPNA2",2.163,1.68e-29,2.1,"HER2-enriched",5677.90402931034,1.00003214329871,0.523081858361541,7.64957004500285,1,1,2,0,3,2,0,9
"IBSP",8.011,1.56e-43,6.689,"HER2-enriched",90.8612310344828,0.999415669570328,0.785913481781515,0.118825312234226,3,3,2,0,0,0,0,8
"MMP13",5.539,7.32e-46,6.179,"HER2-enriched",1012.58214482759,1.00017152905178,0.00014515206214913,0.460292902553551,3,3,2,3,0,0,-3,8
"EPYC",6.445,4.59e-45,5.44,"HER2-enriched",121.679170689655,1.00019694309842,0.849309222857486,0.0163505956199738,3,3,2,0,0,0,0,8
"HAPLN1",5.723,9.95e-22,5.071,"Basal-like",244.720969072165,0.999955762212661,0.919979264836138,0.24390352982245,3,3,2,0,0,0,0,8
"GJB2",5.242,1.26e-42,4.271,"Basal-like",1066.27819381443,1.00000551666135,0.963171793527258,1.37215111571519,3,3,2,0,0,0,0,8
"UBE2C",3.643,1.45e-39,4.183,"Normal-like",1681.1272,0.99999373767018,0.976391707092285,7.51049200333398,2,3,0,0,3,0,0,8
