ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,absLFC,ENSG_base
ENSG00000123500.10,6744.486036,8.123728954,0.326839076,1.11e-137,4.3599999999999995e-133,COL10A1,8.123728954,ENSG00000123500
ENSG00000099953.10,17464.50209,6.794439156,0.28217283,2.6599999999999996e-129,5.23e-125,MMP11,6.794439156,ENSG00000099953
ENSG00000060718.22,9946.928423,7.12241505,0.350410335,5.47e-93,7.16e-89,COL11A1,7.12241505,ENSG00000060718
ENSG00000230838.1,207.5415322,6.398322639,0.375363486,6.529999999999999e-66,2.57e-62,LINC01614,6.398322639,ENSG00000230838
ENSG00000117650.13,872.3315903,4.498950726,0.284130349,1.33e-57,3.28e-54,NEK2,4.498950726,ENSG00000117650
ENSG00000187730.9,140.9181501,3.962257145,0.255557039,2.1899999999999997e-55,4.7699999999999996e-52,GABRD,3.962257145,ENSG00000187730
ENSG00000143228.13,559.3763901,3.858213378,0.261032421,1.52e-50,2.3e-47,NUF2,3.858213378,ENSG00000143228
ENSG00000090889.12,804.563709,3.813051344,0.259285577,4.57e-50,6.2e-47,KIF4A,3.813051344,ENSG00000090889
ENSG00000137745.12,1293.0445,7.312682274,0.503100166,6.52e-49,7.319999999999999e-46,MMP13,7.312682274,ENSG00000137745
ENSG00000261327.5,54.63312542,4.196867323,0.289486585,8.06e-49,8.79e-46,AC134312.5,4.196867323,ENSG00000261327
ENSG00000164087.8,462.4118028,2.143732113,0.148065584,1.65e-48,1.7e-45,POC1A,2.143732113,ENSG00000164087
ENSG00000083782.8,226.235605,7.673388144,0.532173514,4.7899999999999994e-48,4.59e-45,EPYC,7.673388144,ENSG00000083782
ENSG00000123975.5,1048.360281,2.573545632,0.180386159,4.459999999999999e-47,3.73e-44,CKS2,2.573545632,ENSG00000123975
ENSG00000029559.7,139.2803514,7.834794948,0.550968271,1.99e-46,1.5599999999999999e-43,IBSP,7.834794948,ENSG00000029559
ENSG00000152253.9,265.8268168,2.842427635,0.201616573,4.18e-46,3.16e-43,SPC25,2.842427635,ENSG00000152253
ENSG00000155886.11,235.0648146,5.624587711,0.406381556,1.03e-44,7.379999999999999e-42,SLC24A2,5.624587711,ENSG00000155886
ENSG00000165474.8,1686.442804,4.765036851,0.34846955,9.68e-44,6.34e-41,GJB2,4.765036851,ENSG00000165474
ENSG00000160161.9,602.8007581,3.659746961,0.268724299,2.19e-43,1.4099999999999999e-40,CILP2,3.659746961,ENSG00000160161
ENSG00000088325.16,2237.348238,3.344043521,0.245906386,3.09e-43,1.96e-40,TPX2,3.344043521,ENSG00000088325
ENSG00000161800.13,1809.229515,1.986224686,0.145496659,3.77e-43,2.35e-40,RACGAP1,1.986224686,ENSG00000161800
