ENSG,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj,significant,symbol,ENSG_base
ENSG00000099953.10,4104.379212,5.434316253,0.270821122,20.06607242,1.4599999999999998e-89,3.7200000000000003e-85,84.42908583,TRUE,MMP11,ENSG00000099953
ENSG00000165474.8,1111.17623,5.71932183,0.39919208900000003,14.32724243,1.48e-46,1.2599999999999999e-42,41.90097096,TRUE,GJB2,ENSG00000165474
ENSG00000060718.22,5808.378815,6.881435381,0.500970302,13.7362142,6.1599999999999994e-43,3.93e-39,38.40612732,TRUE,COL11A1,ENSG00000060718
ENSG00000169245.6,2163.907381,4.561936083,0.350769605,13.00550565,1.14e-38,4.84e-35,34.31559285,TRUE,CXCL10,ENSG00000169245
ENSG00000169248.13,536.4936649,5.175297802,0.400737268,12.91444098,3.73e-38,1.3599999999999999e-34,33.86697086,TRUE,CXCL11,ENSG00000169248
ENSG00000170373.9,1302.993554,7.308818038,0.585666753,12.47948257,9.660000000000001e-36,3.08e-32,31.51180642,TRUE,CST1,ENSG00000170373
ENSG00000183682.8,372.9106881,3.553144879,0.295220158,12.03557679,2.3100000000000002e-33,6.54e-30,29.18435407,TRUE,BMP8A,ENSG00000183682
ENSG00000154451.15,1422.292089,3.18691956,0.292793027,10.88454731,1.3700000000000001e-27,3.16e-24,23.49976936,TRUE,GBP5,ENSG00000154451
ENSG00000123500.10,3398.819362,6.334036539,0.591478632,10.70881719,9.250000000000001e-27,1.9699999999999998e-23,22.70661754,TRUE,COL10A1,ENSG00000123500
ENSG00000104415.14,1458.631648,3.862379489,0.379225347,10.18491914,2.32e-24,4.21e-21,20.37522834,TRUE,CCN4,ENSG00000104415
ENSG00000175305.18,329.5521755,3.178949723,0.313004906,10.15622971,3.11e-24,5.28e-21,20.27726722,TRUE,CCNE2,ENSG00000175305
ENSG00000140534.14,210.4827892,3.667157451,0.371631512,9.867724697,5.75e-23,9.15e-20,19.03855657,TRUE,TICRR,ENSG00000140534
ENSG00000230838.2,634.6682075,4.890596324,0.499676576,9.787523696,1.27e-22,1.71e-19,18.76741133,TRUE,LINC01614,ENSG00000230838
ENSG00000105664.11,1504.866141,4.76878216,0.498839077,9.559760607,1.18e-21,1.5e-18,17.82278924,TRUE,COMP,ENSG00000105664
ENSG00000143476.18,627.5382017,3.600266246,0.38378171,9.38102612,6.53e-21,7.24e-18,17.14033964,TRUE,DTL,ENSG00000143476
ENSG00000172061.9,6684.388709,5.345173117,0.569515805,9.385469324,6.2600000000000005e-21,7.24e-18,17.14033964,TRUE,LRRC15,ENSG00000172061
ENSG00000196611.6,841.4198876,7.918813199,0.86586541400000006,9.145547417,5.93e-20,5.6e-17,16.251849,TRUE,MMP1,ENSG00000196611
ENSG00000144810.16,4371.779447,3.287221029,0.36251897,9.067721432,1.22e-19,1.03e-16,15.98618076,TRUE,COL8A1,ENSG00000144810
ENSG00000069011.16,156.3780137,4.611131485,0.513260273,8.98400232,2.61e-19,2.15e-16,15.66831717,TRUE,PITX1,ENSG00000069011
ENSG00000109805.10,332.2550793,3.029258083,0.344465068,8.794093694,1.44e-18,1.11e-15,14.95327642,TRUE,NCAPG,ENSG00000109805
ENSG00000103522.17,334.2270763,4.712287783,0.554512785,8.498068766,1.93e-17,1.36e-14,13.86501046,TRUE,IL21R,ENSG00000103522
ENSG00000165891.16,142.7594831,3.792993467,0.454069069,8.353340324,6.64e-17,4.23e-14,13.37390896,TRUE,E2F7,ENSG00000165891
ENSG00000115414.21,200168.5764,3.666920535,0.443153514,8.274605572,1.29e-16,7.82e-14,13.10680804,TRUE,FN1,ENSG00000115414
ENSG00000101057.16,458.5016066,3.988690491,0.491099858,8.121954067,4.59e-16,2.66e-13,12.57563839,TRUE,MYBL2,ENSG00000101057
ENSG00000143228.13,157.4806852,3.104546545,0.383752547,8.08996987,5.97e-16,3.31e-13,12.4804965,TRUE,NUF2,ENSG00000143228
ENSG00000077152.12,112.5993792,3.044372688,0.378470821,8.043876886,8.7e-16,4.62e-13,12.33527196,TRUE,UBE2T,ENSG00000077152
ENSG00000105011.9,305.9569446,2.972495123,0.37058072,8.021181259,1.05e-15,5.34e-13,12.27263572,TRUE,ASF1B,ENSG00000105011
ENSG00000138755.6,3636.562349,4.99728778,0.622963062,8.02180431,1.04e-15,5.34e-13,12.27263572,TRUE,CXCL9,ENSG00000138755
ENSG00000092853.14,517.8443284,3.732073732,0.466161221,8.005972102,1.19e-15,5.92e-13,12.22750381,TRUE,CLSPN,ENSG00000092853
ENSG00000258947.8,668.9214671,3.969699334,0.501190067,7.920546711,2.36e-15,1.16e-12,11.93597946,TRUE,TUBB3,ENSG00000258947
ENSG00000162849.16,1429.822255,3.343981641,0.422416997,7.91630465,2.45e-15,1.18e-12,11.92943807,TRUE,KIF26B,ENSG00000162849
ENSG00000049768.18,96.06829057,3.377199843,0.427091931,7.907430683,2.63e-15,1.24e-12,11.90659164,TRUE,FOXP3,ENSG00000049768
ENSG00000122641.11,2879.656232,4.020015862,0.50976522,7.886014392,3.12e-15,1.43e-12,11.84565137,TRUE,INHBA,ENSG00000122641
ENSG00000157542.11,52.86485092,5.190233075,0.658208146,7.885397818,3.14e-15,1.43e-12,11.84565137,TRUE,KCNJ6,ENSG00000157542
ENSG00000169607.13,252.97105,3.902952522,0.495725509,7.873212997,3.46e-15,1.55e-12,11.81099095,TRUE,CKAP2L,ENSG00000169607
ENSG00000172965.17,2121.808536,1.938407339,0.249514953,7.768702085,7.93e-15,3.42e-12,11.46535883,TRUE,MIR4435-2HG,ENSG00000172965
ENSG00000117724.15,2185.306893,3.225965763,0.416131425,7.752276247,9.03e-15,3.83e-12,11.41640648,TRUE,CENPF,ENSG00000117724
ENSG00000155886.12,295.3561506,4.780474737,0.61689658,7.749232029,9.24e-15,3.86e-12,11.41317258,TRUE,SLC24A2,ENSG00000155886
ENSG00000174371.17,235.3750742,3.627528305,0.471704164,7.690261359,1.47e-14,5.94e-12,11.2262611,TRUE,EXO1,ENSG00000174371
ENSG00000066279.19,1132.782562,3.566282754,0.465901774,7.654580758,1.94e-14,7.54e-12,11.12247308,TRUE,ASPM,ENSG00000066279
ENSG00000140853.17,1655.54194,1.785546721,0.233293482,7.65365028,1.95e-14,7.54e-12,11.12247308,TRUE,NLRC5,ENSG00000140853
ENSG00000111799.22,38732.69546,2.280428128,0.300606776,7.586083588,3.3e-14,1.25e-11,10.90167927,TRUE,COL12A1,ENSG00000111799
ENSG00000122861.16,2490.682342,2.681673069,0.359103016,7.46769855,8.16e-14,2.97e-11,10.52710659,TRUE,PLAU,ENSG00000122861
