ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol,absLFC
ENSG00000163092.21,3.526374924,-16.20458282,0.998524679,6.25E-05,0.000268677,XIRP2,16.20458282
ENSG00000111245.17,3.668134134,-14.50555769,0.321949978,5.09E-06,2.71E-05,MYL2,14.50555769
ENSG00000125414.19,15.74012706,-14.08504263,0.373839151,1.41E-06,8.26E-06,MYH2,14.08504263
ENSG00000092054.13,2.184571949,-13.81456224,0.530004298,6.81E-06,3.54E-05,MYH7,13.81456224
ENSG00000177354.12,1.067323257,-13.69018863,0.877705165,0.002060226,0.006229998,C10orf71,13.69018863
ENSG00000104879.5,7.339587207,-13.20370082,0.248229909,2.29E-07,1.56E-06,CKM,13.20370082
ENSG00000081248.11,1.998538521,-12.39909923,0.620588293,0.001672877,0.005163206,CACNA1S,12.39909923
ENSG00000157119.12,0.616108754,-11.77779951,0.58520831,0.009251092,0.023245484,KLHL40,11.77779951
ENSG00000213401.10,1.831346035,11.72942553,1.769239629,0.000435637,0.001551827,MAGEA12,11.72942553
ENSG00000196228.3,86.23866611,-11.44449946,1.272500153,1.29E-16,3.37E-15,SULT1C3,11.44449946
ENSG00000135222.6,57.77530544,-11.42782562,1.017910808,3.69E-17,1.04E-15,CSN2,11.42782562
ENSG00000111046.4,2.685239735,-11.29269414,0.620369704,4.89E-10,5.13E-09,MYF6,11.29269414
ENSG00000168333.14,1.544086105,-11.09487515,0.712574178,0.000133396,0.000533639,PPDPFL,11.09487515
ENSG00000163833.8,5.713165424,-10.61501059,0.509494443,4.61E-12,6.57E-11,FBXO40,10.61501059
ENSG00000164122.9,4.314087773,-10.45604986,0.569497578,1.05E-06,6.34E-06,ASB5,10.45604986
ENSG00000174429.4,4.551502349,-10.20303331,0.526015597,5.09E-07,3.25E-06,ABRA,10.20303331
ENSG00000184544.12,0.877211805,-10.12327018,0.700422227,0.001814567,0.005555132,DHRS7C,10.12327018
ENSG00000186439.14,278.8576771,-9.953495307,0.522041913,7.89E-31,1.02E-28,TRDN,9.953495307
ENSG00000143632.14,111.026975,-9.915288929,0.404835594,0.004745457,0.012968864,ACTA1,9.915288929
ENSG00000086967.10,14.54802461,-9.786062084,0.402837796,0.0209048,0.046881553,MYBPC2,9.786062084
ENSG00000198930.13,1.865078826,9.760871755,1.162957801,8.59E-06,4.36E-05,CSAG1,9.760871755
ENSG00000180209.12,12.02674412,-9.753944065,0.234915881,0.000816626,0.002732566,MYLPF,9.753944065
ENSG00000170162.14,1.806356783,-9.749742911,0.669042496,1.12E-05,5.57E-05,VGLL2,9.749742911
ENSG00000120729.10,5.61332805,-9.726115742,0.243242889,0.02171034,0.048422699,MYOT,9.726115742
ENSG00000198788.9,83.18764186,9.694764647,0.771056261,2.78E-15,6.14E-14,MUC2,9.694764647
ENSG00000171209.3,269.4798852,-9.687254622,0.947170426,1.83E-25,1.24E-23,CSN3,9.687254622
ENSG00000203858.3,156.4310113,-9.647793889,1.140395625,4.26E-20,1.65E-18,HSD3BP2,9.647793889
ENSG00000165192.14,3.108055105,-9.583147945,0.59507175,4.88E-07,3.13E-06,ASB11,9.583147945
ENSG00000273540.4,0.73208644,-9.531608984,0.471424864,0.00029942,0.001106841,AGBL1,9.531608984
ENSG00000068976.14,282.2850867,-9.404625163,0.316661346,4.96E-26,3.67E-24,PYGM,9.404625163
ENSG00000164879.7,624.4298715,-9.389676572,0.451164036,1.75E-28,1.69E-26,CA3,9.389676572
ENSG00000101470.10,37.21021231,-9.18470215,0.274071012,2.71E-05,0.000125193,TNNC2,9.18470215
ENSG00000101441.4,99.54648369,9.183772178,0.877235563,1.19E-21,5.48E-20,CST4,9.183772178
ENSG00000261776.1,24.39594529,9.126357139,1.347771811,1.26E-09,1.24E-08,AC079414.2,9.126357139
ENSG00000169271.3,1.286064712,-9.041822606,0.846475931,0.010586221,0.026106033,HSPB3,9.041822606
ENSG00000253802.2,54.80157726,9.014072653,0.910554616,3.73E-14,7.07E-13,SIRLNT,9.014072653
ENSG00000175084.12,672.0635762,-8.979852527,0.446143572,7.42E-24,4.18E-22,DES,8.979852527
ENSG00000235123.5,512.1386709,8.931939102,0.846448866,2.52E-27,2.16E-25,DSCAM-AS1,8.931939102
ENSG00000287301.1,2.948175104,8.927822709,2.849843397,4.61E-08,3.52E-07,AC068075.2,8.927822709
ENSG00000187481.2,13.38042018,-8.909506485,1.768120631,3.15E-09,2.91E-08,HSD3BP1,8.909506485
ENSG00000130595.19,247.5045883,-8.846742025,0.35297743,8.78E-26,6.29E-24,TNNT3,8.846742025
ENSG00000223626.1,2.674143703,-8.816639721,2.974834755,4.36E-07,2.82E-06,LINC01044,8.816639721
ENSG00000077009.13,3.197391374,-8.812021217,0.65508379,3.84E-05,0.000171577,NMRK2,8.812021217
ENSG00000150361.12,1.760032883,8.758808547,1.374459789,0.008612139,0.021838321,KLHL1,8.758808547
ENSG00000124701.5,8.37179967,-8.74689239,0.230012928,0.005155164,0.013946385,APOBEC2,8.74689239
ENSG00000257046.5,14.39553427,-8.624529615,1.720352425,2.65E-08,2.10E-07,SLCO1B3-SLCO1B7,8.624529615
ENSG00000205754.12,13.82559041,-8.587026763,1.480051471,5.30E-09,4.71E-08,SLCO1B7,8.587026763
ENSG00000135346.9,153.9515221,8.572617071,1.009489537,6.70E-13,1.08E-11,CGA,8.572617071
ENSG00000196296.14,61.95376829,-8.481703336,0.22722048,5.54E-07,3.52E-06,ATP2A1,8.481703336
ENSG00000280323.1,1.402499106,-8.46291651,0.680504495,8.55E-08,6.25E-07,AC053503.5,8.46291651
ENSG00000091482.8,2.405954071,-8.454997113,0.540317987,0.000933463,0.003078681,SMPX,8.454997113
ENSG00000130598.16,60.70887184,-8.385041871,0.253275006,6.51E-11,7.84E-10,TNNI2,8.385041871
ENSG00000182533.7,6.512020713,-8.342600063,0.385527911,6.69E-14,1.22E-12,CAV3,8.342600063
ENSG00000126545.14,603.8395078,-8.3304549,0.806955632,2.47E-26,1.88E-24,CSN1S1,8.3304549
